cycle,Num_neutral,Num_sel,pi_neutral,pi_sel
1,0,1,0.0,2.0e-09
11,3,8,2.39876e-08,7.99424e-08
21,6,6,2.7994e-08,3.79856e-08
31,6,9,3.59832e-08,5.59716e-08
41,3,4,1.3996e-08,2.39904e-08
51,4,8,1.39988e-08,3.79916e-08
61,3,13,1.79916e-08,1.29857e-07
71,5,10,3.79856e-08,1.53722e-07
81,4,5,4.99456e-08,8.58048e-08
91,3,9,4.19316e-08,1.81396e-07
101,3,12,1.5994e-08,1.4368e-07
111,2,12,3.39696e-08,1.71639e-07
121,4,10,5.19436e-08,2.43549e-07
131,2,16,6.38844e-08,3.09421e-07
141,5,12,1.89007e-07,2.49443e-07
151,6,12,2.72539e-07,2.45422e-07
161,6,13,2.50705e-07,3.15019e-07
171,7,8,1.63253e-07,3.08743e-07
181,5,10,1.31439e-07,3.64547e-07
191,2,11,5.78488e-08,4.41717e-07
201,5,11,8.57328e-08,3.98441e-07
211,5,12,1.4539e-07,3.24564e-07
221,7,12,7.79256e-08,3.68357e-07
231,6,12,1.37705e-07,4.61442e-07
241,8,8,2.58902e-07,4.42209e-07
251,6,12,3.87949e-07,3.46126e-07
261,6,10,3.48584e-07,3.30532e-07
271,8,17,2.73071e-07,3.94726e-07
281,10,8,3.427e-07,3.06605e-07
291,6,10,3.22353e-07,2.13128e-07
301,9,9,5.14173e-07,1.9346e-07
311,9,10,6.37794e-07,2.45051e-07
321,7,7,6.25479e-07,3.14067e-07
331,9,10,6.06541e-07,2.88588e-07
341,11,8,7.39241e-07,3.51192e-07
351,8,4,8.10424e-07,2.24738e-07
361,7,9,8.08168e-07,2.44854e-07
371,6,10,7.82682e-07,2.07428e-07
381,8,7,7.64846e-07,2.0547e-07
391,11,10,5.51622e-07,2.0748e-07
401,11,6,6.89376e-07,1.17681e-07
411,7,6,8.27637e-07,1.15752e-07
421,7,4,8.36595e-07,1.51449e-07
431,3,10,6.88386e-07,1.57718e-07
441,10,6,7.63486e-07,1.57498e-07
451,13,8,7.20359e-07,2.28799e-07
461,8,9,8.71448e-07,2.40697e-07
471,8,12,9.76106e-07,2.43167e-07
481,6,11,8.65722e-07,2.87152e-07
