Seed, N, MU, RHO, S, Num_neutral, Num_sel, pi_neutral, pi_sel
7091245075389563470, 5000, 1.0e-09, 1.0e-07, -0.0001, 4, 16, 3.62366e-07, 2.21469e-06
5881691133395561580, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 24, 1.3817e-06, 9.0929e-06
7014806993748398161, 5000, 3.0e-09, 6.0e-07, -0.0001, 20, 30, 3.75884e-06, 1.4374e-05
6074436820813020623, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 18, 6.46268e-06, 2.39991e-06
4827246050908466137, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 34, 3.75514e-06, 6.15968e-06
2412973214440261820, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 35, 2.68535e-06, 1.37667e-05
6160486359880119190, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 27, 3.5517e-06, 6.69165e-06
3041127420680256801, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 29, 3.23363e-06, 3.9174e-06
804661103333738281, 5000, 3.0e-09, 6.0e-07, -0.0001, 17, 22, 3.52066e-06, 4.75314e-06
457964367476615619, 5000, 3.0e-09, 6.0e-07, -0.0001, 10, 35, 5.79618e-06, 7.56894e-06
7860162817376890162, 5000, 3.0e-09, 6.0e-07, -0.0001, 7, 26, 1.02994e-06, 9.40624e-06
2613835458419486919, 5000, 1.0e-09, 2.0e-07, -0.0001, 3, 11, 2.92433e-07, 1.31605e-06
5893638226511326246, 5000, 3.0e-09, 6.0e-07, -0.0001, 10, 29, 3.61991e-06, 1.12537e-05
400747288888705663, 5000, 3.0e-09, 6.0e-07, -0.0001, 24, 25, 6.23285e-06, 6.88681e-06
5567976932135415481, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 26, 8.86135e-07, 1.02181e-05
694990893395084226, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 34, 5.45487e-06, 5.20127e-06
980553579640885447, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 26, 8.91754e-06, 1.14407e-05
7865833209301045421, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 27, 8.47079e-06, 5.56729e-06
4289846326468486006, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 40, 2.81734e-06, 1.61991e-05
4820352925121983041, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 22, 2.79747e-06, 5.51747e-06
8060952867064426121, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 25, 2.99723e-06, 1.03196e-05
7141369852296673724, 5000, 3.0e-09, 6.0e-07, -0.0001, 20, 17, 3.88478e-06, 8.06119e-06
5872983526897572306, 5000, 1.0e-09, 2.0e-07, -0.0001, 3, 10, 2.37331e-07, 1.59555e-06
8767314374305050891, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 25, 1.44738e-06, 9.35722e-06
8450825858629893929, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 27, 1.91236e-06, 6.05803e-06
7863090090578403157, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 21, 5.10435e-06, 5.42246e-06
2787864284459144406, 5000, 3.0e-09, 6.0e-07, -0.0001, 9, 31, 3.38576e-07, 1.06175e-05
6233109560830716348, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 23, 1.9162e-06, 1.34925e-05
3378215216247524547, 5000, 3.0e-09, 6.0e-07, -0.0001, 8, 31, 2.28409e-06, 1.12685e-05
7749810958624142481, 5000, 3.0e-09, 6.0e-07, -0.0001, 17, 24, 5.27536e-06, 9.06125e-06
6955600751786663436, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 31, 7.00392e-06, 4.11944e-06
3161947824356247605, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 28, 2.98241e-06, 1.10342e-05
6294130951540095973, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 33, 3.02549e-06, 6.63321e-06
712729217202606923, 5000, 1.0e-09, 2.0e-07, -0.0001, 6, 6, 1.33239e-06, 5.98406e-07
6004101421114015492, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 33, 7.85638e-06, 1.11573e-05
1978787602308889805, 5000, 3.0e-09, 6.0e-07, -0.0001, 9, 40, 1.93687e-06, 7.76917e-06
7225471626931449344, 5000, 3.0e-09, 6.0e-07, -0.0001, 20, 28, 5.86875e-06, 7.82095e-06
6019296657804426330, 5000, 3.0e-09, 6.0e-07, -0.0001, 20, 24, 4.53573e-06, 5.68921e-06
3530447222704261207, 5000, 3.0e-09, 6.0e-07, -0.0001, 15, 26, 4.86193e-06, 8.70822e-06
